ExpID,Dataset,Model,BatchSize,Optimizer,LR,PinMem,Epoch,TrainLoss,TrainAcc,ValLoss,ValAcc,Time_ms
1,MNIST,ResNet-18,16,SGD,0.001,FALSE,1,0.2919,91.42,0.0612,98.09,93514
1,MNIST,ResNet-18,16,SGD,0.001,FALSE,2,0.057,98.39,0.0379,98.81,97164
1,MNIST,ResNet-18,16,SGD,0.001,FALSE,3,0.0379,98.86,0.0335,98.9,97326
1,MNIST,ResNet-18,16,SGD,0.001,FALSE,4,0.0286,99.19,0.0324,98.99,97273
1,MNIST,ResNet-18,16,SGD,0.001,FALSE,5,0.0214,99.37,0.0249,99.27,98684
2,MNIST,ResNet-18,16,SGD,0.001,TRUE,1,0.297,91.27,0.0639,98.1,93188
2,MNIST,ResNet-18,16,SGD,0.001,TRUE,2,0.0568,98.39,0.0391,98.89,93115
2,MNIST,ResNet-18,16,SGD,0.001,TRUE,3,0.0362,98.96,0.0357,98.87,92656
2,MNIST,ResNet-18,16,SGD,0.001,TRUE,4,0.027,99.24,0.0396,98.87,92399
2,MNIST,ResNet-18,16,SGD,0.001,TRUE,5,0.02,99.44,0.0281,99.06,91803
3,MNIST,ResNet-18,16,SGD,0.001,FALSE,1,0.2995,91.25,0.0524,98.4,97598
3,MNIST,ResNet-18,16,SGD,0.001,FALSE,2,0.0598,98.25,0.0379,98.9,97316
3,MNIST,ResNet-18,16,SGD,0.001,FALSE,3,0.0395,98.89,0.032,98.89,97360
3,MNIST,ResNet-18,16,SGD,0.001,FALSE,4,0.0289,99.19,0.0206,99.27,97276
3,MNIST,ResNet-18,16,SGD,0.001,FALSE,5,0.0209,99.43,0.0217,99.2,97248
3,MNIST,ResNet-18,16,SGD,0.001,FALSE,6,0.0173,99.51,0.0211,99.24,97372
3,MNIST,ResNet-18,16,SGD,0.001,FALSE,7,0.0143,99.58,0.0197,99.34,97415
4,MNIST,ResNet-18,16,SGD,0.001,TRUE,1,0.2998,91.1,0.0604,98.14,91898
4,MNIST,ResNet-18,16,SGD,0.001,TRUE,2,0.0586,98.37,0.0336,98.91,91748
4,MNIST,ResNet-18,16,SGD,0.001,TRUE,3,0.0373,98.94,0.0382,98.87,91501
4,MNIST,ResNet-18,16,SGD,0.001,TRUE,4,0.0274,99.18,0.027,99.06,91854
4,MNIST,ResNet-18,16,SGD,0.001,TRUE,5,0.0204,99.42,0.0254,99.21,91874
4,MNIST,ResNet-18,16,SGD,0.001,TRUE,6,0.0146,99.61,0.025,99.19,91651
4,MNIST,ResNet-18,16,SGD,0.001,TRUE,7,0.0115,99.69,0.0261,99.11,91477
5,MNIST,ResNet-18,16,SGD,0.0001,FALSE,1,1.2879,67.25,0.4596,92.4,97842
5,MNIST,ResNet-18,16,SGD,0.0001,FALSE,2,0.3247,93.18,0.158,96.39,97648
5,MNIST,ResNet-18,16,SGD,0.0001,FALSE,3,0.1774,95.69,0.1105,97.16,97228
5,MNIST,ResNet-18,16,SGD,0.0001,FALSE,4,0.1338,96.6,0.0857,97.7,97051
5,MNIST,ResNet-18,16,SGD,0.0001,FALSE,5,0.1073,97.22,0.0674,98.06,97139
6,MNIST,ResNet-18,16,SGD,0.0001,TRUE,1,1.3102,66.44,0.5118,89.91,91821
6,MNIST,ResNet-18,16,SGD,0.0001,TRUE,2,0.337,92.89,0.176,95.8,91815
6,MNIST,ResNet-18,16,SGD,0.0001,TRUE,3,0.1763,95.78,0.1268,96.71,91983
6,MNIST,ResNet-18,16,SGD,0.0001,TRUE,4,0.1285,96.73,0.0861,97.57,91864
6,MNIST,ResNet-18,16,SGD,0.0001,TRUE,5,0.1009,97.34,0.0728,97.94,91702
7,MNIST,ResNet-18,16,SGD,0.0001,FALSE,1,1.2723,67.08,0.4623,91.51,97535
7,MNIST,ResNet-18,16,SGD,0.0001,FALSE,2,0.3379,92.97,0.1635,96.07,97286
7,MNIST,ResNet-18,16,SGD,0.0001,FALSE,3,0.1835,95.64,0.1055,97.17,97021
7,MNIST,ResNet-18,16,SGD,0.0001,FALSE,4,0.1335,96.62,0.0818,97.67,97046
7,MNIST,ResNet-18,16,SGD,0.0001,FALSE,5,0.1064,97.2,0.0656,98.17,96994
7,MNIST,ResNet-18,16,SGD,0.0001,FALSE,6,0.0889,97.65,0.058,98.39,97078
7,MNIST,ResNet-18,16,SGD,0.0001,FALSE,7,0.0767,97.98,0.0537,98.59,98758
8,MNIST,ResNet-18,16,SGD,0.0001,TRUE,1,1.2845,67.7,0.4687,91.86,93015
8,MNIST,ResNet-18,16,SGD,0.0001,TRUE,2,0.3377,92.92,0.1692,96.24,91999
8,MNIST,ResNet-18,16,SGD,0.0001,TRUE,3,0.1822,95.6,0.1131,97.19,91952
8,MNIST,ResNet-18,16,SGD,0.0001,TRUE,4,0.133,96.62,0.089,97.49,91898
8,MNIST,ResNet-18,16,SGD,0.0001,TRUE,5,0.1054,97.28,0.0699,97.99,91827
8,MNIST,ResNet-18,16,SGD,0.0001,TRUE,6,0.0897,97.56,0.0602,98.31,91729
8,MNIST,ResNet-18,16,SGD,0.0001,TRUE,7,0.0768,98.01,0.0513,98.53,91755
9,MNIST,ResNet-18,16,Adam,0.001,FALSE,1,0.1274,96.14,0.0457,98.66,103388
9,MNIST,ResNet-18,16,Adam,0.001,FALSE,2,0.0563,98.25,0.0344,98.91,102965
9,MNIST,ResNet-18,16,Adam,0.001,FALSE,3,0.0405,98.78,0.0265,99.31,102989
9,MNIST,ResNet-18,16,Adam,0.001,FALSE,4,0.0333,99.02,0.0264,99.24,102969
9,MNIST,ResNet-18,16,Adam,0.001,FALSE,5,0.0269,99.18,0.0368,98.9,102765
10,MNIST,ResNet-18,16,Adam,0.001,TRUE,1,0.1259,96.19,0.0695,97.96,97776
10,MNIST,ResNet-18,16,Adam,0.001,TRUE,2,0.0563,98.22,0.0392,98.84,97617
